index,time_from_start,joint1,joint2,joint3,joint4,joint5,joint6,velocity1,velocity2,velocity3,velocity4,velocity5,velocity6,acceleration1,acceleration2,acceleration3,acceleration4,acceleration5,acceleration6
22,3.581287,0.19190017,-0.13259824,-0.26740494,0.00001904,0.40000317,0.19188260,0.00008141,-0.09308456,0.08362455,-0.00000043,0.00946004,0.00008186,-0.03463297,-0.00483799,-0.00600593,-0.00000041,0.01084378,-0.03463241
23,3.768359,0.19131572,-0.15009625,-0.25186514,0.00001895,0.40196138,0.19129825,-0.00642989,-0.09389060,0.08234916,-0.00000051,0.01154141,-0.00642930,-0.03507117,-0.00372724,-0.00762428,-0.00000048,0.01135145,-0.03507062
24,3.956844,0.18948538,-0.16785952,-0.23647813,0.00001885,0.40433763,0.18946803,-0.01308982,-0.09448435,0.08076120,-0.00000061,0.01372316,-0.01308916,-0.03568733,-0.00251588,-0.00921800,-0.00000054,0.01173402,-0.03568693
25,4.146294,0.18636862,-0.18580519,-0.22134266,0.00001872,0.40714784,0.18635140,-0.01991738,-0.09484144,0.07886535,-0.00000071,0.01597611,-0.01991664,-0.03646432,-0.00117684,-0.01080361,-0.00000048,0.01198045,-0.03646384
26,4.336209,0.18192942,-0.20383906,-0.20655936,0.00001858,0.41039841,0.18191235,-0.02692311,-0.09493081,0.07666268,-0.00000079,0.01826812,-0.02692227,-0.03735416,0.00033680,-0.01241964,-0.00000042,0.01208271,-0.03735361
27,4.526017,0.17614529,-0.22185262,-0.19223206,0.00001842,0.41408467,0.17612839,-0.03410162,-0.09471355,0.07414933,-0.00000087,0.02056420,-0.03410067,-0.03845719,0.00208043,-0.01411251,-0.00000037,0.01203208,-0.03845661
28,4.715062,0.16900993,-0.23972154,-0.17846769,0.00001825,0.41818921,0.16899322,-0.04149272,-0.09414263,0.07131612,-0.00000093,0.02282651,-0.04149166,-0.03988361,0.00406294,-0.01588111,-0.00000032,0.01181830,-0.03988322
29,4.902581,0.16052061,-0.25730338,-0.16537695,0.00001807,0.42268032,0.16050411,-0.04912037,-0.09318359,0.06816907,-0.00000099,0.02501455,-0.04911927,-0.04165350,0.00632338,-0.01775880,-0.00000036,0.01143542,-0.04165328
30,5.087782,0.15070179,-0.27445292,-0.15305972,0.00001788,0.42751263,0.15068549,-0.05701781,-0.09178578,0.06469707,-0.00000106,0.02708872,-0.05701667,-0.04395209,0.00895756,-0.01985013,-0.00000040,0.01089250,-0.04395175
31,5.269695,0.13958859,-0.29099920,-0.14162577,0.00001768,0.43262496,0.13957251,-0.06525578,-0.08989515,0.06088181,-0.00000114,0.02901333,-0.06525456,-0.04703123,0.01205721,-0.02226126,-0.00000031,0.01020405,-0.04703083
32,5.447311,0.12724043,-0.30677285,-0.13117093,0.00001747,0.43794377,0.12722457,-0.07392691,-0.08745086,0.05669349,-0.00000117,0.03075737,-0.07392562,-0.04755250,0.01951382,-0.02747598,-0.00000008,0.00796215,-0.04755217
33,5.619412,0.11373513,-0.32158221,-0.12179912,0.00001727,0.44338132,0.11371950,-0.08188568,-0.08307084,0.05127301,-0.00000117,0.03179783,-0.08188434,-0.03723339,0.03633331,-0.03787441,0.00000014,0.00154109,-0.03723352
34,5.790066,0.09917369,-0.33524581,-0.11359684,0.00001707,0.44884264,0.09915829,-0.08668885,-0.07499743,0.04371185,-0.00000112,0.03128559,-0.08668761,-0.02090028,0.05213559,-0.04611402,0.00000037,-0.00602149,-0.02090092
35,5.966084,0.08368250,-0.34758175,-0.10664543,0.00001688,0.45422717,0.08366730,-0.08913123,-0.06499687,0.03528655,-0.00000104,0.02971034,-0.08913011,-0.01237129,0.05632288,-0.04658470,0.00000046,-0.00973818,-0.01237176
36,6.146536,0.06740110,-0.35841523,-0.10101825,0.00001670,0.45943348,0.06738610,-0.09109884,-0.05492003,0.02710581,-0.00000096,0.02781422,-0.09109777,-0.00944106,0.05544089,-0.04436709,0.00000048,-0.01107395,-0.00944147
37,6.330447,0.05048950,-0.36759255,-0.09676909,0.00001653,0.46436163,0.05047469,-0.09257120,-0.04479629,0.01912085,-0.00000086,0.02567541,-0.09257023,-0.00658205,0.05491302,-0.04282661,0.00000057,-0.01208640,-0.00658263
38,6.516804,0.03312489,-0.37500189,-0.09393840,0.00001638,0.46894028,0.03311025,-0.09353596,-0.03458746,0.01124846,-0.00000075,0.02333901,-0.09353511,-0.00376976,0.05478700,-0.04187552,0.00000053,-0.01291133,-0.00377044
39,6.704585,0.01549410,-0.38053305,-0.09256061,0.00001625,0.47309365,0.01547961,-0.09398161,-0.02429837,0.00345360,-0.00000067,0.02084479,-0.09398089,-0.00100990,0.05476395,-0.04132752,0.00000043,-0.01343635,-0.00101048
40,6.892730,-0.00220525,-0.38413628,-0.09264010,0.00001613,0.47677638,-0.00221962,-0.09391561,-0.01400027,-0.00428764,-0.00000059,0.01828793,-0.09391497,0.00171213,0.05479841,-0.04122152,0.00000049,-0.01357695,0.00171179
41,7.080246,-0.01978637,-0.38579241,-0.09417131,0.00001603,0.47996372,-0.01980062,-0.09333843,-0.00371272,-0.01203173,-0.00000048,0.01574445,-0.09333784,0.00448071,0.05490169,-0.04155505,0.00000048,-0.01334672,0.00448023
42,7.266077,-0.03705279,-0.38552241,-0.09713210,0.00001595,0.48265451,-0.03706694,-0.09224276,0.00649707,-0.01980205,-0.00000041,0.01330499,-0.09224230,0.00726788,0.05500949,-0.04228003,0.00000041,-0.01272946,0.00726725
43,7.449198,-0.05381944,-0.38339531,-0.10147730,0.00001588,0.48487261,-0.05383352,-0.09065694,0.01658309,-0.02763100,-0.00000033,0.01104790,-0.09065658,0.01004715,0.05533415,-0.04355733,0.00000042,-0.01177683,0.01004674
44,7.628668,-0.06992418,-0.37950953,-0.10715085,0.00001583,0.48666038,-0.06993820,-0.08859975,0.02656073,-0.03559555,-0.00000025,0.00903482,-0.08859944,0.01294817,0.05598335,-0.04550116,0.00000028,-0.01048219,0.01294789
45,7.803537,-0.08521381,-0.37398380,-0.11409020,0.00001579,0.48807400,-0.08522778,-0.08606890,0.03642019,-0.04375384,-0.00000023,0.00733365,-0.08606863,0.01597926,0.05697831,-0.04815325,0.00000021,-0.00882505,0.01597897
46,7.972854,-0.09954789,-0.36697421,-0.12221031,0.00001575,0.48918452,-0.09956182,-0.08309991,0.04617187,-0.05216922,-0.00000018,0.00599736,-0.08309970,0.01915284,0.05859358,-0.05177139,0.00000032,-0.00682218,0.01915253
47,8.135815,-0.11282609,-0.35864190,-0.13142489,0.00001573,0.49006679,-0.11283999,-0.07970483,0.05588955,-0.06095634,-0.00000013,0.00506679,-0.07970467,0.02371949,0.06035531,-0.05582064,0.00000015,-0.00453457,0.02371924
48,8.291507,-0.12494611,-0.34916481,-0.14163426,0.00001571,0.49079907,-0.12495999,-0.07554161,0.06540430,-0.06995666,-0.00000013,0.00455240,-0.07554148,0.03938750,0.05140348,-0.04888726,-0.00000002,-0.00251612,0.03938741
49,8.440575,-0.13584816,-0.33870928,-0.15274489,0.00001569,0.49145418,-0.13586202,-0.06770109,0.07155528,-0.07585523,-0.00000013,0.00429998,-0.06770096,0.05976240,0.02812310,-0.02735021,0.00000001,-0.00077300,0.05976250
50,8.594839,-0.14548201,-0.32745981,-0.16464357,0.00001567,0.49210339,-0.14549585,-0.05741377,0.07393493,-0.07825286,-0.00000013,0.00431792,-0.05741361,0.06338568,0.01277808,-0.01406586,-0.00000008,0.00128767,0.06338586
51,8.753524,-0.15381574,-0.31557142,-0.17723404,0.00001565,0.49280547,-0.15382955,-0.04786460,0.07555417,-0.08025712,-0.00000016,0.00470295,-0.04786442,0.05754631,0.00800866,-0.01131261,-0.00000008,0.00330396,0.05754638
52,8.915827,-0.16084596,-0.30320785,-0.19040512,0.00001562,0.49361298,-0.16085974,-0.03894211,0.07650561,-0.08188406,-0.00000015,0.00537845,-0.03894193,0.05291230,0.00413553,-0.00890846,-0.00000008,0.00477293,0.05291237
53,9.081034,-0.16656969,-0.29051503,-0.20405193,0.00001560,0.49456697,-0.16658344,-0.03053527,0.07690860,-0.08317473,-0.00000018,0.00626614,-0.03053506,0.04905347,0.00100840,-0.00680491,-0.00000026,0.00579651,0.04905364
54,9.248510,-0.17100454,-0.27762163,-0.21807598,0.00001556,0.49569762,-0.17101825,-0.02262283,0.07684109,-0.08414794,-0.00000024,0.00730686,-0.02262259,0.04575070,-0.00160650,-0.00488607,-0.00000016,0.00649257,0.04575086
55,9.417618,-0.17418417,-0.26465156,-0.23237477,0.00001552,0.49702634,-0.17419784,-0.01513632,0.07636788,-0.08481931,-0.00000024,0.00845143,-0.01513606,0.04303668,-0.00380913,-0.00311846,-0.00000008,0.00692759,0.04303684
