index,x,y,z,nx,ny,nz,theta
118,0.255166,0.005772,0.233981,-0.972555,0.125198,0.196116,9.296751
119,0.254976,0.002219,0.234608,-0.979392,0.048266,0.196116,9.375537
120,0.255067,-0.001328,0.235235,-0.980153,-0.028967,0.196116,9.454323
121,0.255435,-0.004847,0.235862,-0.974832,-0.106019,0.196116,9.533109
122,0.256078,-0.008316,0.236489,-0.963464,-0.182414,0.196116,9.611895
123,0.256990,-0.011714,0.237116,-0.946119,-0.257677,0.196116,9.690681
124,0.258163,-0.015020,0.237743,-0.922904,-0.331342,0.196116,9.769467
125,0.259589,-0.018215,0.238370,-0.893963,-0.402951,0.196116,9.848253
126,0.261258,-0.021279,0.238997,-0.859475,-0.472060,0.196116,9.927039
127,0.263158,-0.024193,0.239624,-0.819656,-0.538240,0.196116,10.005825
128,0.265275,-0.026941,0.240251,-0.774752,-0.601081,0.196116,10.084611
129,0.267596,-0.029506,0.240878,-0.725040,-0.660193,0.196116,10.163397
130,0.270105,-0.031873,0.241505,-0.670831,-0.715209,0.196116,10.242183
131,0.272784,-0.034029,0.242132,-0.612460,-0.765788,0.196116,10.320969
132,0.275617,-0.035962,0.242759,-0.550289,-0.811616,0.196116,10.399755
133,0.278585,-0.037660,0.243386,-0.484704,-0.852408,0.196116,10.478541
134,0.281669,-0.039115,0.244013,-0.416112,-0.887913,0.196116,10.557327
135,0.284849,-0.040319,0.244639,-0.344939,-0.917908,0.196116,10.636113
136,0.288104,-0.041266,0.245266,-0.271625,-0.942209,0.196116,10.714899
137,0.291413,-0.041952,0.245893,-0.196627,-0.960665,0.196116,10.793685
138,0.294757,-0.042373,0.246520,-0.120408,-0.973160,0.196116,10.872471
139,0.298114,-0.042529,0.247147,-0.043442,-0.979618,0.196116,10.951257
140,0.301463,-0.042420,0.247774,0.033793,-0.979998,0.196116,11.030043
141,0.304783,-0.042049,0.248401,0.110818,-0.974299,0.196116,11.108829
142,0.308053,-0.041419,0.249028,0.187156,-0.962554,0.196116,11.187615
143,0.311255,-0.040536,0.249655,0.262333,-0.944839,0.196116,11.266401
144,0.314367,-0.039406,0.250282,0.335882,-0.921261,0.196116,11.345187
145,0.317372,-0.038039,0.250909,0.407348,-0.891968,0.196116,11.423973
146,0.320251,-0.036444,0.251536,0.476286,-0.857141,0.196116,11.502759
147,0.322987,-0.034633,0.252163,0.542270,-0.816996,0.196116,11.581545
148,0.325564,-0.032618,0.252790,0.604889,-0.771782,0.196116,11.660331
149,0.327967,-0.030412,0.253417,0.663755,-0.721781,0.196116,11.739117
150,0.330182,-0.028031,0.254044,0.718504,-0.667301,0.196116,11.817903
151,0.332196,-0.025491,0.254671,0.768794,-0.608682,0.196116,11.896689
152,0.333999,-0.022808,0.255298,0.814316,-0.546286,0.196116,11.975475
153,0.335579,-0.020000,0.255925,0.854785,-0.480501,0.196116,12.054261
154,0.336929,-0.017085,0.256552,0.889951,-0.411735,0.196116,12.133047
155,0.338041,-0.014082,0.257179,0.919596,-0.340415,0.196116,12.211834
156,0.338911,-0.011010,0.257806,0.943535,-0.266982,0.196116,12.290620
157,0.339534,-0.007889,0.258433,0.961621,-0.191894,0.196116,12.369406
158,0.339908,-0.004738,0.259060,0.973741,-0.115615,0.196116,12.448192
159,0.340032,-0.001578,0.259687,0.979820,-0.038618,0.196116,12.526978
160,0.339906,0.001573,0.260313,0.979820,0.038618,0.196116,12.605764
161,0.339534,0.004694,0.260940,0.973741,0.115615,0.196116,12.684550
162,0.338919,0.007766,0.261567,0.961621,0.191894,0.196116,12.763336
163,0.338067,0.010771,0.262194,0.943535,0.266982,0.196116,12.842122
164,0.336983,0.013690,0.262821,0.919596,0.340415,0.196116,12.920908
165,0.335677,0.016506,0.263448,0.889951,0.411735,0.196116,12.999694
166,0.334158,0.019201,0.264075,0.854785,0.480501,0.196116,13.078480
167,0.332437,0.021760,0.264702,0.814316,0.546286,0.196116,13.157266
168,0.330525,0.024168,0.265329,0.768794,0.608682,0.196116,13.236052
169,0.328436,0.026410,0.265956,0.718504,0.667301,0.196116,13.314838
170,0.326185,0.028474,0.266583,0.663755,0.721781,0.196116,13.393624
171,0.323785,0.030348,0.267210,0.604889,0.771782,0.196116,13.472410
172,0.321254,0.032021,0.267837,0.542270,0.816996,0.196116,13.551196
173,0.318607,0.033485,0.268464,0.476286,0.857141,0.196116,13.629982
174,0.315861,0.034731,0.269091,0.407348,0.891968,0.196116,13.708768
175,0.313036,0.035754,0.269718,0.335882,0.921261,0.196116,13.787554
176,0.310148,0.036548,0.270345,0.262333,0.944839,0.196116,13.866340
177,0.307216,0.037111,0.270972,0.187156,0.962554,0.196116,13.945126
178,0.304258,0.037439,0.271599,0.110818,0.974299,0.196116,14.023912
179,0.301294,0.037533,0.272226,0.033793,0.979998,0.196116,14.102698
180,0.298342,0.037393,0.272853,-0.043442,0.979618,0.196116,14.181484
181,0.295419,0.037022,0.273480,-0.120408,0.973160,0.196116,14.260270
182,0.292545,0.036424,0.274107,-0.196627,0.960665,0.196116,14.339056
